DATAFLOW,LAST UPDATE,freq,indic,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024-Q4,155.31,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025-Q1,157.44,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025-Q2,159.98,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2022-Q3,150.84,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2022-Q4,148.69,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2023-Q1,147.53,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2023-Q2,148.13,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2023-Q3,149.09,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2023-Q4,148.80,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2024-Q1,149.73,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2024-Q2,152.61,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2024-Q3,155.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2024-Q4,156.15,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2025-Q1,158.29,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),2025-Q2,160.85,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2022-Q3,112.24,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2022-Q4,108.51,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2023-Q1,105.75,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2023-Q2,106.58,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2023-Q3,103.51,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2023-Q4,102.48,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2024-Q1,101.50,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2024-Q2,101.85,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2024-Q3,101.45,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2024-Q4,100.59,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2025-Q1,99.56,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Finland,2025-Q2,100.50,p,
